shape_class,count,pct,circularity_mean,aspect_ratio_mean,solidity_mean,eccentricity_mean,radial_cv_mean,n_radial_peaks_mean,asymmetry_index_mean,efd_deviation_mean,circularity_std,aspect_ratio_std,solidity_std,eccentricity_std,radial_cv_std,n_radial_peaks_std,asymmetry_index_std,efd_deviation_std
Circular,249,14.3,0.870707253735234,1.1776494199410208,0.9918283778196961,0.5080750362680069,0.06512321119765593,2.2409638554216866,0.008321998084671921,0.07606002450631709,0.0109658098313215,0.0763170124783757,0.0021141377913310886,0.10699413426947074,0.021339518189463662,0.8879619848797171,0.006355613458542843,0.02087100515300337
Elliptical,1302,75.0,0.8015658699216137,1.6244525535984864,0.9886282486748112,0.7763723740810456,0.17940024848355776,1.9800307219662059,0.0130083464846785,0.12400413911327995,0.03418903488561156,0.18557385229873943,0.006159263687827914,0.05812218501123658,0.043188863972298236,0.8032795952856296,0.014806517327470922,0.03157334662606653
Flattened,60,3.5,0.7094638708789189,666666669.132597,0.9750944952812706,0.9106953423370145,0.36220631476165926,2.5833333333333335,0.06283477432124643,0.17705991910932076,0.08097030809723087,3620406693.926074,0.03397384020227993,0.032295765634113946,0.1627145517144945,1.586934649543233,0.13574099223037972,0.07909085306931202
Irregular,113,6.5,0.75853821318823,1.4534006242530377,0.9700891945996056,0.6486826583325677,0.15203653390446561,2.7876106194690267,0.024753764891420334,0.19389821136805693,0.08764861272628525,0.39797344051396294,0.027293986663838317,0.20168522031450237,0.09218707218321315,1.6874078145911746,0.02720856135492151,0.10198447968573694
Tear-drop,1,0.1,0.7860694982318406,1.7871780919885973,0.9918271646290392,0.8288024518038659,0.3640023284454457,3.0,0.20747202723153393,0.1032819507364267,,,,,,,,
Triangular,12,0.7,0.605572446847202,1.663461556133308,0.9080444268679494,0.7170572420707054,0.2285969509742273,3.0,0.028360648621579988,0.4037265130917711,0.08780148030529772,0.5017823398483915,0.029657796154211723,0.17497187819072627,0.08043008418769904,0.0,0.02157232576825197,0.18240290124637176
